cod_ncm;nom_categoria;desc_ncm;ignore1;ignore2;ignore3;ignore4;ignore5;
02101200;CARNES E MIUDEZAS, COMESTÍVEIS;02101200 - BARRIGAS E PEITOS Ñ DESOSS.SUÍNOS,SALG.SECA;;;;;;
02101900;CARNES E MIUDEZAS, COMESTÍVEIS;02101900 - OUTS.CARNES SUÍNAS,SALG.SECAS OU DEFUMS.;;;;;;
02102000;CARNES E MIUDEZAS, COMESTÍVEIS;02102000 - CARNES BOVINAS,SALGADAS,SECAS OU DEFUMS.;;;;;;
02109100;CARNES E MIUDEZAS, COMESTÍVEIS;02109100 - CARN.MIUD,D/PRIM.SAL.SEC.DEF.FAR.D/CARN/MIUD.;;;;;;
02109200;CARNES E MIUDEZAS, COMESTÍVEIS;"02109200 - CARNES E MIUD.;FARINH.E PÓS COMEST.D/BALEIAS,GOLF.BOTOS";;;;;;
02109300;CARNES E MIUDEZAS, COMESTÍVEIS;02109300 - CARN.MIUD.D/RÉPTEIS,SERP.TAR,DEF.F/CAR.MIUD.;;;;;;
02109900;CARNES E MIUDEZAS, COMESTÍVEIS;02109900 - OUTS.CARNES E MIUD.COMEST.FARINH.E PÓS,SALG.OU EM SALM.;;;;;;
03011110;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011110 - ARUANÃ (OSTEOGLOSSUM BICIRRHOSUM);;;;;;
03011190;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011190 - OUTROS PEIXES VIVOS ORNAMENTAIS DE ÁGUA DOCE;;;;;;
03011900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011900 - PEIXES VIVOS ORNAMENTAIS DE ÁGUA SALGADA;;;;;;
03019110;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019110 - TRUTAS PARA REPRODUÇÃO;;;;;;
03019190;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019190 - OUTRAS TRUTAS (SALMO TRUTTA ETC.)VIVAS;;;;;;
03019210;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019210 - ENGUIAS PARA REPRODUÇÃO;;;;;;
03019290;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019290 - OUTRAS ENGUIAS (ANGUILLA SPP.) VIVAS;;;;;;
03019310;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019310 - CARPAS PARA REPRODUÇÃO;;;;;;
03019390;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019390 - OUTRAS CARPAS;;;;;;
03019410;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019410 - ATUNS AZUIS PARA REPRODUÇÃO;;;;;;
03019490;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019490 - OUTROS ATUNS AZUIS;;;;;;
03019510;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019510 - ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPRODUÇÃO;;;;;;
03019590;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019590 - OUTS. ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPR.;;;;;;
03019911;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019911 - TILÁPIAS PARA REPRODUÇÃO;;;;;;
03019912;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019912 - ESTURJÕES PARA REPRODUÇÃO;;;;;;
03019919;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019919 - OUTROS PEIXES PARA REPRODUÇÃO;;;;;;
03019991;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019991 - OUTRAS TILÁPIAS VIVAS;;;;;;
03019992;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019992 - OUTROS ESTURJÕES VIVOS;;;;;;
03019999;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019999 - OUTROS PEIXES VIVOS;;;;;;
03021100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021100 - TRUTAS (SALMO TRUTTA,ETC.) FRESCAS OU REFR.;;;;;;
03021300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021300 - SALMÕES-DO PACÍFICO FRESCOS OU REFRIGERADOS;;;;;;
03021400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021400 - SALMÃO-DO-ATLÂNTICO E SALMÃO-DO-DANÚBIO FRESC./REFRIGER;;;;;;
03021900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021900 - OUTS.SALMONÍDEOS,FRESCOS OU REFR.,EXC.FILÉS;;;;;;
03022100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022100 - LINGUADOS-GIGANTES, FRESC.OU REFRIGERADOS;;;;;;
03022200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022200 - SOLHAS OU PATRUÇAS, FRESCAS OU REFRIG.;;;;;;
03022300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022300 - LINGUADOS (SOLEA SPP.), FRESCOS OU REFRIG.;;;;;;
03022400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022400 - PREGADO FRESCO OU REFRIGERADO;;;;;;
03022900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022900 - OUTROS PEIXES CHATOS, FRESCOS OU REFRIGERADOS;;;;;;
